fondo,2025-05-30,2025-06-30,2025-07-31,2025-08-29,2025-09-30,2025-10-31,2025-11-28,2025-12-30,2026-01-30,2026-02-27,2026-03-31
Ualintec Renta Variable Pesos - Clase A,7.9182,-12.0377,15.2644,-12.5887,-9.6183,58.1739,0.7142,0.508,5.7344,-16.6819,13.6234
Ualintec Renta Variable Pesos - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ualintec Renta Variable Pesos - Clase C,7.9848,-11.9815,15.3377,-12.5364,-7.3465,58.2751,0.7722,0.6317,5.8604,-16.5923,13.7632
1810 Renta Variable Argentina,8.237,-12.2537,15.6257,-14.8217,-11.0725,64.8717,0.4009,0.4815,4.9192,-17.2688,14.0839
Max Acciones Argentinas - Clase A,0.0,-9.5343,15.3466,-16.3811,-11.8129,67.8401,0.1332,2.1073,4.5082,-17.1914,12.9275
Max Acciones Argentinas - Clase B,0.0,-11.0241,15.4207,-16.3309,-11.7542,67.9477,0.1909,2.1747,4.5748,-17.1436,13.0019
Max Acciones Argentinas - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Acciones Argentinas - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crecer Acciones - Clase A,8.1393,-12.399,15.6496,-14.1813,-10.7817,64.7908,0.5703,0.7011,4.5644,-17.3823,12.8384
Crecer Acciones - Clase B,8.2304,-12.2949,15.787,-14.0856,-10.6719,64.9871,0.6784,0.825,4.689,-17.2933,12.977
Parakeet Capital Plus - Clase A,-2.4175,-11.2016,15.3301,-14.4006,-11.538,47.2328,1.5856,-0.2603,4.4754,-16.1458,14.7311
Parakeet Capital Plus - Clase B,-2.377,-11.1646,15.3782,-14.3647,-11.5016,47.2943,1.6281,-0.2188,4.519,-16.1105,14.7789
Parakeet Capital Plus - Clase X Ley N° 27.743,-2.4176,-11.2019,15.3299,-14.4006,-11.5382,47.2325,1.5857,-0.2606,4.4755,-16.1456,14.731
Balanz Soja - Clase A,2.8862,0.1289,15.3287,-1.1642,12.1586,4.2343,4.7054,-1.5368,-3.1881,2.7616,-3.1932
Balanz Soja - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Soja - Clase C,-0.7876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Soja - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Probolsa Acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wise Capital Equity - Clase A,8.3395,-11.7431,9.8197,-12.4063,-4.7371,15.4082,2.6924,-0.7759,1.2697,-18.016,-1.5007
Wise Capital Equity - Clase B,8.3395,-11.7431,9.8197,-12.4063,-4.7371,15.4082,2.6924,-0.7759,1.2697,-18.016,-1.5007
Wise Capital Equity - Clase C,8.3396,-11.7429,9.82,-12.4064,-4.7368,15.408,2.6921,-0.7756,1.2695,-18.016,
Wise Capital Equity - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wise Capital Equity - Clase J Ley N° 27.743,8.3397,-11.7428,9.8199,-12.4062,-4.7368,15.408,2.6925,-0.7756,1.318,-18.0019,-1.4965
Balanz Soja - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Soja - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Equity Selection - Clase A,6.6429,-12.4898,16.3862,-14.0437,-10.7288,65.955,-1.4528,1.5599,5.9087,-16.6017,14.0676
Balanz Equity Selection - Clase B,6.6792,-12.461,16.4258,-14.0144,-10.6994,66.0082,-1.4203,1.5945,5.9448,-16.5761,14.106
Balanz Equity Selection - Clase C,6.6883,-12.4538,16.4357,-14.0071,-10.692,66.0257,-1.4122,1.6032,5.9538,-16.5697,14.1162
Balanz Equity Selection - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Equity Selection - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Equity Selection - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaquí Renta Variable - Clase A,8.1035,-12.6467,16.387,-14.6806,-12.4153,69.4338,-0.1026,0.5992,4.1932,-17.5297,13.6851
Champaquí Renta Variable - Clase B,8.2104,-12.5574,16.5059,-14.5991,-12.3228,69.6069,-0.0104,0.7054,4.2997,-17.4536,13.8051
SBS Patrimonio VII - Clase A,1.7249,7.194,2.3156,7.6398,,,,,,,
SBS Patrimonio VII - Clase B,1.8506,7.331,2.4462,7.7683,,,,,,,
SBS Patrimonio VII - Clase Ley N° 27.743,0.0,0.0,2.0242,7.6397,,,,,,,
Alpha Mercosur - Clase A,4.3792,-8.6751,13.3393,-9.7967,-4.0489,49.2549,0.6539,0.36,8.6095,-14.3037,11.0892
Alpha Mercosur - Clase B,4.167,-8.8669,13.1012,-9.974,-4.2569,48.9414,0.4629,0.1424,8.3811,-14.4686,10.8449
Alpha Mercosur - Clase C,-1.2557,0.0497,-12.2192,0.0935,-9.2587,1.3112,0.0655,-0.342,1.4587,2.7736,-0.1504
Alpha Mercosur - Clase D,2.8589,-8.822,-0.7187,-9.8901,-13.1207,50.893,0.5289,-0.2004,9.9579,-12.1244,10.6363
Alpha Mercosur - Clase I,-1.2554,0.0498,-12.2188,0.0924,-9.2576,1.3104,0.0656,-0.3425,1.4581,2.7751,-0.1507
Alpha Mercosur - Clase J,4.9914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
